,board,board_size,game_id,move_from,move_to,movement,owner,visible
0,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[9],[15],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
1,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[29],[23],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
2,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[11],[17],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
3,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[24],[18],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
4,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[15],[27],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
5,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[33],[27],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
6,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[5],[11],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
7,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[23],[22],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
8,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[17],[23],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
9,"[ 1  7  4  1 11  0  0  3  8  0 10  0  0  2 13  0  5  0  0  0 13  0  0  3  6
  8 10  0  5  7  0  2 12  9  0  0]",6,0,[22],[23],[0 0 0 7 2 0 0 0 0 0 0 0 0 2 0 0 7 0 0 0 0 0 0 3 1 0 0 0 0 1 0 0 0 1 0 0],[0 0 0 1 0 2 2 0 0 2 0 2 2 0 2 2 0 2 2 2 2 2 2 1 1 1 1 2 1 1 2 1 1 1 2 2],[0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
